"species","graf_cur_auc","phys_cur_auc","maxent_cur_auc"
"eremias multiocellata",0.651875,0.658125,0.721875
"takydromus sexlineatus",0.867969821673525,0.866941015089163,0.863168724279836
"phrynosoma cornutum",0.640044568486187,0.642510979857641,0.639049349862617
"sceloporus graciosus",0.908834207341668,0.9077416969208,0.908324800115841
"sceloporus malachiticus",0.774767801857585,0.741486068111455,0.765479876160991
"sceloporus occidentalis",0.845705299136673,0.832195991509726,0.846985991593836
"sceloporus variabilis",0.823622550041698,0.823504080104628,0.837639912995679
"urosaurus ornatus",0.742856953449213,0.742451830932799,0.760222714261933
"anolis carolinensis",0.82448160535117,0.822112925437733,0.82878614991147
"anolis cristatellus",0.884409499643875,0.884487402065527,0.88117098468661
"anolis cupreus",0.929012345679012,0.911616161616162,0.948092031425365
"anolis cybotes",0.704970022181821,0.704564041915992,0.714342870927695
"anolis gundlachi",0.931329900568182,0.931418678977273,0.81005859375
"anolis humilis",0.706944444444444,0.6875,0.88125
"anolis lemurinus",0.816157246308662,0.81493463744945,0.848189598420013
"anolis limifrons",0.850987841945288,0.85144376899696,0.889589665653495
"anolis shrevei",0.965277777777778,0.961805555555556,0.914930555555556
"ctenotus regius",0.653455942498131,0.652426512817837,0.683633112306166
"ctenotus taeniolatus",0.878116736123508,0.872030193710153,0.870379716506968
"ctenotus uber",0.652062076652662,0.6490611334991,0.627797307725285
"eremiascincus fasciolatus",0.7074100054204,0.705005898670408,0.731789050792336
"plestiodon gilberti",0.780556197964847,0.764425300647547,0.780296022201665
"ameiva festiva",0.741371158392435,0.717730496453901,0.800945626477541
"liolaemus bibronii",0.841404591935173,0.733744935365618,0.829635346324523
"liolaemus cf elongatus",0.83220469411312,0.774413235859946,0.82227779915352
"liolaemus chiliensis",0.770731707317073,0.747038327526132,0.701742160278745
"liolaemus darwinii",0.770532024793388,0.760072314049587,0.766787190082644
"liolaemus kriegi",0.804012345679012,0.733796296296296,0.825617283950617
"liolaemus lemniscatus",0.81501976284585,0.777338603425561,0.892292490118577
"liolaemus monticola",0.88301282051282,0.811431623931624,0.944444444444444
"liolaemus nigroviridis",0.951234567901234,0.932098765432099,0.958024691358025
"liolaemus nitidus",0.785454545454545,0.692727272727273,0.790909090909091
"liolaemus schroederi",0.931818181818182,0.772727272727273,0.951515151515152
"liolaemus tenuis",0.798387096774193,0.773539668700959,0.815170008718396
"protobothrops mucrosquamatus",0.841715976331361,0.846153846153846,0.831360946745562
"lepidophyma flavimaculatum",0.6721875,0.68125,0.66375
"xantusia riversiana",0.848028673835125,0.848745519713262,0.834408602150538
"xantusia vigilis",0.892582627118644,0.892078389830512,0.899353813559323
